title,price,discount_price,discount,resolution,screen_width,os,cpu,cpu_proc_speed,gpu,ram,storage,front_camera,rear_camera,battery,size,weight,brand,link
iPad Air (Gen 5) WIFI 5G 64GB,20490000.0,17890000.0,13%,1640 x 2360 Pixels,"10.9""",iPadOS 15,Apple M1,8 nhân,Apple GPU 8 nhân,8 GB,64 GB,"12 MP; Bộ lọc màu, Góc rộng, Live Photos, Quay video HD, Tự động lấy nét (AF)","12 MP; Quay phim: 4K 2160p@24fps, 4K 2160p@25fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@25fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps; Góc rộng, Gắn thẻ địa lý, HDR, Quay chậm (Slow Motion), Toàn cảnh (Panorama), Tua nhanh thời gian (Time‑lapse), Tự động lấy nét (AF), Zoom kỹ thuật số",28.6 Wh (~ 7587 mAh),Dài 247.6 mm - Ngang 178.5 mm - Dày 6.1 mm,462 g,,https://viettelstore.vn/may-tinh-bang/ipad-air-gen-5-5g-64gb-pid289289.html
iPad Pro 11 (2022) WIFI 256GB,24990000.0,22990000.0,8%,1668 x 2388 Pixels,11 inch,iPadOS 16,Apple M2,8 nhân,Apple GPU 10 nhân,8 GB,256 GB,12 MP,12 MP,28.65 Wh (~ 7538 mAh),Dài 247.6 mm - Ngang 178.5 mm - Dày 5.9 mm,Nặng 466 g,,https://viettelstore.vn/may-tinh-bang/ipad-pro-11-2022-wifi-256gb-pid295668.html
iPad Pro 12.9 (2022) WIFI 256GB,32990000.0,30990000.0,6%,2048 x 2732 Pixels,12.9 inch,iPadOS 16,Apple M2,8 nhân,Apple GPU 10 nhân,8 GB,256 GB,12 MP,12 MP,40.88 Wh (~ 10.835 mAh),Dài 280.6 mm - Ngang 214.9 mm - Dày 6.4 mm,Nặng 682 g,,https://viettelstore.vn/may-tinh-bang/ipad-pro-12-9-2022-wifi-256gb-pid295675.html
iPad Pro 12.9 (2022) WIFI 128GB,29990000.0,27990000.0,7%,2048 x 2732 Pixels,12.9 inch,iPadOS 16,Apple M2,8 nhân,Apple GPU 10 nhân,8 GB,128 GB,12 MP,12 MP,40.88 Wh (~ 10.835 mAh),Dài 280.6 mm - Ngang 214.9 mm - Dày 6.4 mm,Nặng 682 g,,https://viettelstore.vn/may-tinh-bang/ipad-pro-12-9-2022-wifi-128gb-pid295674.html
iPad Pro 12.9 (2022) WIFI 5G 128GB,33990000.0,31790000.0,6%,2048 x 2732 Pixels,12.9 inch,iPadOS 16,Apple M2,8 nhân,Apple GPU 10 nhân,8 GB,128 GB,12 MP,12 MP,40.88 Wh (~ 10.835 mAh),Dài 280.6 mm - Ngang 214.9 mm - Dày 6.4 mm,Nặng 682 g,,https://viettelstore.vn/may-tinh-bang/ipad-pro-12-9-2022-5g-128gb-pid295677.html
iPad Pro 11 (2022) WIFI 5G 512GB,33990000.0,33990000.0,0%,1668 x 2388 Pixels,11 inch,iPadOS 16,Apple M2,8 nhân,Apple GPU 10 nhân,8 GB,512 GB,12 MP,12 MP,28.65 Wh (~ 7538 mAh),Dài 247.6 mm - Ngang 178.5 mm - Dày 5.9 mm,Nặng 466 g,,https://viettelstore.vn/may-tinh-bang/ipad-pro-11-2022-5g-512gb-pid295673.html
iPad mini (Gen 6) Wifi 256GB,18990000.0,15990000.0,16%,1488 x 2266 Pixels,"8.3""",iPadOS 15,Apple A15 Bionic,6 nhân,Apple GPU 5 nhân,4 GB,256 GB,"12 MP, HDR; Quay video Full HD; Quay video HD; Tự động lấy nét (AF)","12 MP, 4K 2160p@24fps, 4K 2160p@25fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@25fps, FullHD 1080p@30fps, FullHD 1080p@60fps; Chạm lấy nét, Gắn thẻ địa lý, HDR, Nhận diện khuôn mặt, Toàn cảnh (Panorama), Tự động lấy nét (AF), Zoom kỹ thuật số",19.3 Wh,Dài 195.4 mm - Ngang 134.8 mm - Dày 6.3 mm,293 g,,https://viettelstore.vn/may-tinh-bang/ipad-mini-gen-6-wifi-256gb-pid288695.html
iPad mini (Gen 6) Wifi 64GB,13990000.0,11490000.0,18%,1488 x 2266 Pixels,"8.3""",iPadOS 15,Apple A15 Bionic,6 nhân,Apple GPU 5 nhân,4 GB,64 GB,"12 MP, HDR; Quay video Full HD; Quay video HD; Tự động lấy nét (AF)","12 MP, 4K 2160p@24fps, 4K 2160p@25fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@25fps, FullHD 1080p@30fps, FullHD 1080p@60fps; Chạm lấy nét, Gắn thẻ địa lý, HDR, Nhận diện khuôn mặt, Toàn cảnh (Panorama), Tự động lấy nét (AF), Zoom kỹ thuật số",19.3 Wh,Dài 195.4 mm - Ngang 134.8 mm - Dày 6.3 mm,293 g,,https://viettelstore.vn/may-tinh-bang/ipad-mini-gen-6-wifi-64gb-pid288694.html
Samsung Galaxy Tab A9 Plus Wifi 64GB,5990000.0,5990000.0,0%,1200 x 1920 Pixels,,Android 13,Snapdragon 695,,,4 GB,,5 MP,,,,,,https://viettelstore.vn/may-tinh-bang/tab-a9-wifi-64gb-pid324262.html
Samsung Galaxy Tab A9 Wifi 64GB,3990000.0,3990000.0,0%,800 x 1340 Pixels,,Android 13,MediaTek Helio G99,,,4 GB,,2 MP,,,,,,https://viettelstore.vn/may-tinh-bang/tab-a9-wifi-64gb-pid324263.html
Samsung Galaxy Tab S9 FE Plus Wifi 128GB,13990000.0,13990000.0,0%,1600 x 2560 Pixels,,Android 13,Exynos 1380 8 nhân,,,8 GB,128 GB,12 MP,,,,,,https://viettelstore.vn/may-tinh-bang/tab-s9-fe-wifi-128gb-pid324260.html
Samsung Galaxy Tab S9 FE Wifi 128GB,9990000.0,9990000.0,0%,1440 x 2304 Pixels,,Android 13,Exynos 1380 8 nhân,,,6 GB,,12 MP,,,,,,https://viettelstore.vn/may-tinh-bang/tab-s9-fe-wifi-128gb-pid324261.html
Samsung Galaxy Tab S8 Ultra 5G,30990000.0,24990000.0,19%,2960 x 1848,"14.6""",Android 12,"Snapdragon® 8 Gen 1; 2.99GHz, 2.4GHz, 1.7GHz",,Adreno730,8GB,128GB,12.0 + 12.0 MP; Camera kép; Góc siêu rộng; Auto-framing,13.0 + 6.0 MP; UHD 4K (3840 x 2160)@30fps; Có Flash; Tự động lấy nét; Góc siêu rộng; Đèn Flash,11200 mAh,Dài 208.6 mm - Ngang 326.4 mm - Dày 5.5 mm,728g,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s8-ultra-pid289030.html
Samsung Galaxy Tab S8 5G,20990000.0,18990000.0,10%,2560 x 1600,"11""",Android 12,"Snapdragon® 8 Gen 1, 2.99GHz, 2.4GHz, 1.7GHz",,Adreno730,8GB,128GB,"12.0 MP, Góc siêu rộng, Auto-framing","13.0 + 6.0 MP; UHD 4K (3840 x 2160)@30fps; Có Flash, Tự động lấy nét, Góc siêu rộng, Đèn Flash",8000 mAh,Dài 165.3 mm - Ngang 253.8 mm - Dày 6.3 mm,507gr,,https://viettelstore.vn/may-tinh-bang/samsung-galaxy-tab-s8-pid289028.html
Oppo Pad Air 128GB,7990000.0,6990000.0,13%,1200 x 2000,10.36 inch,"ColorOS 12.1, nền tảng Android 12","Qualcomm Snapdragon™ 680 , tối đa 2.4GHz",,Adreno 610,4GB,128GB,5MP,8MP,7100mAh,245.08 x 154.84 x 6.94 mm,Khoảng 440g (Bao gồm pin),,https://viettelstore.vn/may-tinh-bang/oppo-pad-air-128g-pid302335.html
MTB Masstel Tab 10A,3290000.0,3290000.0,0%,800 x 1280 Pixels,"10.1""",Android 11,MediaTek MT8765WA 4 nhân,4 nhân 1.3 GHz,IMG PowerVR GE8100,3 GB,32 GB,2 MP,5 MP,6000 mAh,Dài 244 mm - Ngang 164 mm - Dày 9 mm,450 g,,https://viettelstore.vn/may-tinh-bang/mtb-masstel-tab-10a-pid288971.html
Máy tính bảng Lenovo Tab M10 Gen 2 TB-X306X 2GB/32GB (ZA6V0062VN) (Xám),5190000.0,5190000.0,0%,HD 1280 x 800,"10,1 inch",Android,MediaTek Helio P22,,,2GB,32GB,8MP,5MP,5000mAh,"241,54 x 149,38 x 8,25 mm",245 g,,https://viettelstore.vn/may-tinh-bang/may-tinh-bang-lenovo-tab-m10-gen-2-tb-x306x-2gb-32gb-ZA6V0062VN--xam-pid288628.html
Redmi Pad SE (6+128),5490000.0,4990000.0,9%,1200 x 1920 Pixels,,Android 13,Snapdragon 680 8 nhân,,,6 GB,,5 MP,,,,,,https://viettelstore.vn/may-tinh-bang/redmi-pad-se-6-128-pid323951.html
Máy đọc sách Boox Leaf 2,,,,1680 × 1264 (300 dpi),7 inch,Android 11,Qualcomm 2.0G Quad-core (4 x Arm Cortex-A53),,,2GB RAM,32GB ROM,,,2000mAh,156 × 137 × 6 mm,170g,,https://viettelstore.vn/may-tinh-bang/may-doc-sach-boox-leaf-2-pid297158.html
TCL TAB10 LTE GEN2 4+64 GB,,,,1200 x 2000 pixels,10.36”,Android™ 13,MT8768,4x ARM Cortex-A53 @ 2.0 GHz; 4x ARM Cortex-A53 @ 1.5 GHz MT8768 Octa-core,650MHz GE8320,4GB,64GB,5MP; 1080P@30fps,8MP; 1080P@30fps,6000mAh (Typical),244.94*154.7*7.35mm,445g,,https://viettelstore.vn/may-tinh-bang/tcl-tab10-lte-gen2-4-64-gb-pid317369.html
TCL TAB10 WIFI GEN2 3+32 GB,,,,800 x 1280 pixels,10.1”,Android 13,MTK8766,Quad-Core 4*Cortex-A53 @1.8GHz,GE8300,3GB,32GB,Camera sau: 2MP; 1080P@30fps,Camera sau: 2MP; 1080P@30fps,6000mAh (typical),241.2*156.6*7.99 mm,472g,,https://viettelstore.vn/may-tinh-bang/tcl-tab10-wifi-gen2-3-32-gb-pid317370.html
TCL TAB11 WIFI 4+128 GB,,,,1200 x 2000 pixels,10.95 inches,Android™ 13,MTK HelioP60T,"4x ARM Cortex-A53 @ 2.0 GHz; 4x ARM Cortex-A73 @ 2,0 GHz",ARM Mali-G72 MP3,4GB,128GB,8MP; 1080P@30fps,8MP; 1080P@30fps,8000mAh,259.0*161.6*6.9mm,462g,,https://viettelstore.vn/may-tinh-bang/tcl-tab11-wifi-4-128-gb-pid317371.html
Nexta Smart Study 1,7900000.0,5900000.0,25%,1200 x 2000 Pixels,10.4 inch,Android 11,Unisoc T610,8 nhân 1.8 GHz,Mali-G52 MC2,4GB,64GB,5MP,13MP,6000 mAh,Dài 246.8 mm - Ngang 156.6 mm - Dày 8.2 mm,Nặng 440 g,,https://viettelstore.vn/may-doc-sach/nexta-smart-study-1-pid289223.html
Máy đọc sách Onyx Boox Note Air,12590000.0,12590000.0,0%,,,,,,,,,,,,,,,https://viettelstore.vn/may-doc-sach/may-doc-sach-onyx-boox-note-air-pid197858.html
Máy đọc sách Boox Nova Air 2,,,,1872x1404 (300 dpi),7.8 inch,Android 11,Qualcomm 2.0Ghz Octa-core  (11nm),,,3GB RAM,32GB ROM,,,2000mAh,7.8 inch,Khoảng 235g,,https://viettelstore.vn/may-doc-sach/may-doc-sach-boox-nova-air-2-pid297159.html
Máy đọc sách BOOX Tab Ultra,,,,1404x1872 (227dpi）,10.3 inch,Android 11,Qualcomm Octa-core,,,4GB RAM,128GB ROM,,16MP,6300mAh,10.3 inch,Khoảng 480g,,https://viettelstore.vn/may-doc-sach/may-doc-sach-boox-tab-ultra-pid297160.html
iPad 10.2 2021 WiFi 64GB | Chính hãng Apple Việt Nam,8990000.0,7590000.0,16%,,10.2 inches,iOS,A13 Bionic,,Apple GPU 4 nhân,,64 GB,,Camera góc siêu rộng 8MP,,250.6 x 174.1 x 7.5 mm,498g,,https://cellphones.com.vn/ipad-10-2-inch-2021.html
Samsung Galaxy Tab S9 FE 5G 6GB 128GB - Chỉ có tại CellphoneS,12990000.0,10890000.0,16%,2304 x 1440 pixels,10.9 inches,Android 13,Exynos 1380,8 nhân,,6 GB,128 GB,12 MP (góc siêu rộng),8 MP,8.000mAh,254.3 x 165.8 x 6.5 mm,524,,https://cellphones.com.vn/samsung-galaxy-tab-s9-fe.html
iPad Pro 11 inch 2022 M2 Wifi 128GB I Chính hãng Apple Việt Nam,23990000.0,19990000.0,17%,1668 x 2388 pixel,11 inches,iPadOS 16,Apple M2,,Apple GPU 10 nhân,8 GB,128 GB,"Camera góc siêu rộng 12MP, 122°, ƒ/2.4","Camera góc rộng: 12MP, ƒ/1.8
Camera góc siêu rộng: 10MP, ƒ/2.4, 125°",28.65 Wh (~ 7538 mAh),247.6 x 178.5 x 5.9 mm,466g,,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2.html
iPad Air 5 10.9 inch (2022) 64GB I Chính hãng Apple Việt Nam,16990000.0,13690000.0,19%,2360 x 1640 pixel,10.9 inches,iPadOS,Chip M1,CPU 8 nhân,8 nhân,8 GB,64 GB,12MP,12MP,28.6 Wh (~ 7587 mAh),Dài 247.6 mm x Ngang 178.5 mm x Dày 6.1 mm,461 g,,https://cellphones.com.vn/ipad-air-5.html
iPad mini 6 WiFi 64GB | Chính hãng Apple Việt Nam,12990000.0,11190000.0,14%,2266 x 1488 pixels,8.3 inches,iPadOS,Apple A15 Bionic 6 nhân,,Apple GPU 5 nhân,4 GB,64 GB,12MP góc rộng,12MP khẩu độ f/1.8,19.3 Wh,195.4 × 134.8 × 6.3mm,293g,,https://cellphones.com.vn/ipad-mini-6.html
iPad Gen 10 10.9 inch 2022 Wifi 64GB I Chính hãng Apple Việt Nam,12990000.0,10890000.0,16%,1640 x 2360 pixels,10.9 inches,iPadOS 16,A14 Bionic,2 nhân 3.1 GHz & 4 nhân 1.8 GHz,Apple GPU 4 nhân,4 GB,64 GB,"Camera góc siêu rộng: 12MP, 122°, ƒ/2.4","Camera góc rộng: 12MP, ƒ/1.8",28.6 Wh (~ 7587 mAh),248.6 x 179.5 x 7 mm,477g,,https://cellphones.com.vn/ipad-10-9-inch-2022.html
Xiaomi Pad 6 8GB 128GB - Chỉ có tại CellphoneS,9490000.0,8490000.0,11%,2880 x 1800 pixels,11 inches,Android 13,Qualcomm Snapdragon 870 5G (7 nm),1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585,Adreno 650,8 GB,128 GB,"8 MP, f/2.2, 1/4"", 1.12µm","13 MP, f/2.2, PDAF",8840 mAh,253.95 x 165.18 x 6.51 mm,490 g,,https://cellphones.com.vn/xiaomi-mi-pad-6.html
iPad Pro 11 2021 M1 WiFi 128GB I Chính hãng Apple Việt Nam,23990000.0,18990000.0,21%,2048 x 2732 pixels,11 inches,iPadOS,Apple M1 8 nhân,8 nhân CPU,8 nhân GPU,8 GB,128 GB,12MP góc siêu rộng 122 độ,"12MP góc rộng
10MP góc siêu rộng",7538mAh,247.6 x 178.5 x 5.9 mm,466 g,,https://cellphones.com.vn/ipad-pro-11-2021.html
Samsung Galaxy Tab S9 Wifi 12GB 256GB,21990000.0,19090000.0,13%,1600 x 2560 pixels,11 inches,Android 13,Snapdragon 8 Gen 2,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,12 GB,256 GB,12 MP,13 MP,"8,400 mAh",165.8 x 254.3 x 5.9mm,498 g,,https://cellphones.com.vn/samsung-galaxy-tab-s9-wifi-12gb-256gb.html
Xiaomi Redmi Pad SE 6GB 128GB,5490000.0,4690000.0,15%,1920 x 1200 pixels (FullHD+),11 inches,"Android 13, MIUI Pad 14",Qualcomm SM6225 Snapdragon 680 4G (6 nm),4x2.4 GHz Kryo 265 Gold & 4x1.9 GHz Kryo 265 Silver),Qualcomm® Adreno TM,6 GB,128 GB,"5 MP, f/2.2","8 MP, F2.0, 1.12μm","8,000 mAh",255.5 x 167.1 x 7.4 mm,478 g,,https://cellphones.com.vn/xiaomi-redmi-pad-se.html
Samsung Galaxy Tab S9 FE WIFI 6GB 128GB,9990000.0,9590000.0,4%,2304 x 1440 pixels,10.9 inches,Android 13,Exynos 1380,8 nhân,,6 GB,128 GB,12 MP (góc siêu rộng),8 MP,8.000 mAh,254.3 x 165.8 x 6.5 mm,,,https://cellphones.com.vn/samsung-galaxy-tab-s9-fe-wifi.html
iPad Gen 10 10.9 inch 2022 Wifi 256GB I Chính hãng Apple Việt Nam,16990000.0,14990000.0,12%,1640 x 2360 pixels,10.9 inches,iPadOS 16,A14 Bionic,2 nhân 3.1 GHz & 4 nhân 1.8 GHz,4-core GPU,4 GB,256 GB,"Camera góc siêu rộng: 12MP, 122°, ƒ/2.4","Camera góc rộng: 12MP, ƒ/1.8",28.6 Wh (~ 7587 mAh),248.6 x 179.5 x 7 mm,477g,,https://cellphones.com.vn/ipad-10-9-inch-2022-256gb.html
Samsung Galaxy Tab S9 Ultra 12GB 256GB,32990000.0,23590000.0,28%,1848 x 2960 Pixels,14.6 inches,Android 13,Snapdragon 8 Gen 2 for Galaxy,1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,Adreno 740,12 GB,256 GB,2 Camera 12 MP,Chính 13 MP & Phụ 8 MP,11200 mAh,326.4 x 208.6 x 5.5 mm,737 g,,https://cellphones.com.vn/samsung-galaxy-tab-s9-ultra.html
iPad Pro 11 inch 2022 M2 Wifi 256GB I Chính hãng Apple Việt Nam,26990000.0,23490000.0,13%,1668 x 2388 pixel,11 inches,iPadOS 16,Apple M2,,10-core GPU,8 GB,256 GB,"Camera góc siêu rộng 12MP, 122°, ƒ/2.4","Camera góc rộng: 12MP, ƒ/1.8
Camera góc siêu rộng: 10MP, ƒ/2.4, 125°",28.65 Wh (~ 7538 mAh),247.6 x 178.5 x 5.9 mm,466g,,https://cellphones.com.vn/ipad-pro-2022-11-inch-m2-256gb.html
iPad mini 6 WiFi 256GB | Chính hãng Apple Việt Nam,17990000.0,16490000.0,8%,2266 x 1488 pixels,8.3 inches,iPadOS,A15 Bionic,,Apple GPU 5 nhân,4 GB,256 GB,12MP góc rộng,12MP khẩu độ f/1.8,19.3 Wh,195.4 × 134.8 × 6.3mm,293g,,https://cellphones.com.vn/ipad-mini-6-256gb.html
iPad Air 5 10.9 inch (2022) 5G 64GB I Chính hãng Apple Việt Nam,20990000.0,16990000.0,19%,2360 x 1640 pixel,10.9 inches,iPadOS,Chip M1,CPU 8 nhân,8 nhân,8 GB,64 GB,12MP,12MP,,Dài 247.6 mm x Ngang 178.5 mm x Dày 6.1 mm,462 g,,https://cellphones.com.vn/ipad-air-5-5g.html
iPad 10.2 2021 WiFi 256GB | Chính hãng Apple Việt Nam,12990000.0,11190000.0,14%,,10.2 inches,iOS,A13 Bionic,,Apple GPU 4 nhân,,256 GB,,Camera góc siêu rộng 12MP,32.4 Wh (~ 8600 mAh),(250.6 x 174.1 x 7.5 mm,498g,,https://cellphones.com.vn/ipad-10-2-inch-2021-256gb.html
Samsung Galaxy Tab S8 WIFI - Chỉ có tại CellphoneS,17990000.0,11690000.0,35%,2560 x 1600 pixel (2K),11 inches,"Android 12, UI 4.1.",Chip Snapdragon 8 Gen 1,1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510,Adreno 730,8 GB,128 GB,Camera góc siêu rộng 12MP,"Camera chính: 13MP
Camera góc siêu rộng: 6MP",8000mAh,253.8 x 165.3 x 6.3 mm,572 g,,https://cellphones.com.vn/samsung-galaxy-tab-s8-wifi.html
Samsung Galaxy Tab S8 5G,20990000.0,16990000.0,19%,2560 x 1600 pixel (2K),11 inches,"Android 12, UI 4.1.",Chip Snapdragon 8 Gen 1,1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510,Adreno 730,8 GB,128 GB,Camera góc siêu rộng: 12MP,"Camera chính: 13MP
Camera góc siêu rộng: 6MP",8000mAh,253.8 x 165.3 x 6.3 mm,507 g,,https://cellphones.com.vn/samsung-galaxy-tab-s8.html
Samsung Galaxy Tab S9 FE Plus WIFI 8GB 128GB,13990000.0,13490000.0,4%,2560 x 1600 (WQXGA),12.4 inches,Android 13,Exynos 1380,,,8 GB,128 GB,12 MP (góc siêu rộng),8 MP + 8 MP (góc siêu rộng),"10,090 mAh",285.4 x 185.4 x 6.5 mm,627,,https://cellphones.com.vn/samsung-galaxy-tab-s9-fe-plus-wifi.html
iPad Gen 10 10.9 inch 2022 Wifi + 5G 64GB I Chính hãng Apple Việt Nam,16990000.0,13990000.0,18%,1640 x 2360 pixels,10.9 inches,iPadOS 16,A14 Bionic,2 nhân 3.1 GHz & 4 nhân 1.8 GHz,4-core GPU,4 GB,64 GB,"Camera góc siêu rộng: 12MP, 122°, ƒ/2.4","Camera góc rộng: 12MP, ƒ/1.8",28.6 Wh (~ 7587 mAh),248.6 x 179.5 x 7 mm,481g,,https://cellphones.com.vn/ipad-10-9-inch-2022-5g.html
Samsung Galaxy Tab S9 Wifi 8GB 128GB,19990000.0,17090000.0,15%,2560x1600 pixel (QHD+),11 inches,Android 13,Snapdragon 8 Gen 2,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,8 GB,128 GB,12 MP,13MP,8400mAh,165.8 x 254.3 x 5.9mm,498g,,https://cellphones.com.vn/samsung-galaxy-tab-s9-wifi.html
Samsung Galaxy Tab A8 (2022),6990000.0,5690000.0,19%,1920 x 1200 pixels (FullHD+),10.5 inches,"Android 11, One UI 3",The Unisoc T618,2 nhân 2.0 GHz & 6 nhân 2.0 GHz,Mali G52 MP2,4 GB,64 GB,5 MP,8 MP,7040 mAh,246.8 x 161.9 x 6.9 mm,508 g,,https://cellphones.com.vn/samsung-galaxy-tab-a8.html
Xiaomi Pad 6 8GB 256GB,10490000.0,9790000.0,7%,2880 x 1800 pixels,11 inches,Android 13,Qualcomm Snapdragon 870 5G (7 nm),1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585,Adreno 650,8 GB,256 GB,"8 MP, f/2.2, 1/4"", 1.12µm","13 MP, f/2.2, PDAF",8840 mAh,253.95 x 165.18 x 6.51 mm,490 g,,https://cellphones.com.vn/xiaomi-mi-pad-6-8gb-256gb.html
iPad mini 6 LTE 4GB 64GB | Chính hãng Apple Việt Nam,17990000.0,15390000.0,14%,2266 x 1488 pixels,8.3 inches,iPadOS,A15 Bionic,2.93 GHz,Apple GPU 5 nhân,4 GB,64 GB,12MP góc rộng,12MP khẩu độ f/1.8,19.3 Wh,195.4 × 134.8 × 6.3mm,297g,,https://cellphones.com.vn/ipad-mini-6-4g.html
iPad Pro 12.9 inch 2022 M2 Wifi 128GB I Chính hãng Apple Việt Nam,31990000.0,28990000.0,9%,2732 x 2048 pixels,12.9 inches,iPadOS 16,Apple M2 8 nhân,,Apple GPU 10 nhân,8 GB,128 GB,"12MP, 122°, ƒ/2.4","Camera góc rộng: 12MP, ƒ/1.8
Camera góc siêu rộng: 10MP, ƒ/2.4, 125°",40.88 Wh (~ 10.835 mAh),280.6 x 214.9 x 6.4 mm,682 g,,https://cellphones.com.vn/ipad-pro-2022-12-9-inch-m2.html
Samsung Galaxy Tab S9 Ultra 12GB 512GB,34990000.0,25590000.0,27%,1848 x 2960 Pixels,14.6 inches,,Snapdragon 8 Gen 2 for Galaxy,1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510,Adreno 740,12 GB,512 GB,2 Camera 12 MP,Chính 13 MP & Phụ 8 MP,11200 mAh,326.4 x 208.6 x 5.5 mm,737 g,,https://cellphones.com.vn/samsung-galaxy-tab-s9-ultra-512gb.html
Samsung Galaxy Tab S9 FE Plus WIFI 12GB 256GB - Chỉ có tại CellphoneS,15990000.0,15290000.0,4%,2560 x 1600 (WQXGA),12.4 inches,Android 13,Exynos 1380,,,12 GB,256 GB,12 MP (góc siêu rộng),8 MP + 8 MP (góc siêu rộng),"10,090 mAh",285.4 x 185.4 x 6.5 mm,627,,https://cellphones.com.vn/samsung-galaxy-tab-s9-fe-plus-wifi-12gb-256gb.html
Samsung Galaxy Tab S9 5G 8GB 128GB,22990000.0,20090000.0,13%,2560 x 1600 pixels (2K),11 inches,Android 13,Snapdragon® 8 Gen 2,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Adreno 740,8 GB,128 GB,Camera góc siêu rộng 12 MP,12 MP,"8,400mAh",254.3 x 165.8 x 5.9 mm,500g,,https://cellphones.com.vn/samsung-galaxy-tab-s9.html
